Latitude,Longitude,HS,UCL,LCL_,Cobertura Boscosa_90m,band_1_90m,band_2_90m,band_3_90m,band_4_90m,band_5_90m,band_6_90m,band_7_90m,band_8_90m,band_9_90m,band_10_90m,band_11_90m,NDWI_90m,BSI_90m,NBRI_90m,GCI_90m,MSI_90m,NDMI_90m,SAVI_90m_90m,EVI_90m,GNDVI_90m,AVI_90m,NDVI_90m,Altitud_90m,Distancia a Rios_90m,Distancia a zonas con pérdida de cobertura_90m,Resistencia_90m,Costo de Movimiento_90m,Distancia a Bosque_90m,Distancia a corredor biologico_90m,Cobertura Boscosa_150m,band_1_150m,band_2_150m,band_3_150m,band_4_150m,band_5_150m,band_6_150m,band_7_150m,band_8_150m,band_9_150m,band_10_150m,band_11_150m,NDWI_150m,BSI_150m,NBRI_150m,GCI_150m,MSI_150m,NDMI_150m,SAVI_150m,EVI_150m,GNDVI_150m,AVI_150m,NDVI_150m,Altitud_150m,Distancia a Rios_150m,Distancia a zonas con pérdida de cobertura_150m,Resistencia_150m,Costo de Movimiento_150m,Distancia a Bosque_150m,Distancia a corredor biologico_150m,Cobertura Boscosa_300m,band_1_300m,band_2_300m,band_3_300m,band_4_300m,band_5_300m,band_6_300m,band_7_300m,band_8_300m,band_9_300m,band_10_300m,band_11_300m,NDWI_300m,BSI_300m,NBRI_300m,GCI_300m,MSI_300m,NDMI_300m,SAVI_300m,EVI_300m,GNDVI_300m,AVI_300m,NDVI_300m,Altitud_300m,Distancia a Rios_300m,Distancia a zonas con pérdida de cobertura_300m,Resistencia_300m,Costo de Movimiento_300m,Distancia a Bosque_300m,Distancia a corredor biologico_300m,Label
6.087354569,-75.33737978,-10.825871,11.84611,"  -8.936539",0,0.144269571,0.13103278,0.12292175,0.128170118,0.189340159,0.230500534,0.184463754,0.125492603,0.001265974,296.707489,293.5697327,-0.209698573,-0.215037331,-0.612588763,0.541058719,1.230158925,-0.100634716,0.111359015,0.156569511,-0.343132675,4.739297867,-0.366951346,2157.604492,166.2758636,179.0016479,180.2478638,1,2380.576172,1178.435059,0,0.131398983,0.1148676,0.107332983,0.105160242,0.217570818,0.197600751,0.141117812,0.106227418,0.001205278,295.6915962,292.7765709,-0.293431044,-0.5010765,-0.344725937,1.057294353,0.967051816,0.032677031,0.191026274,0.267230867,-0.248887237,4.773337004,-0.24076665,2156.513158,132.9466667,195.4911603,178.2666499,1,2381.502177,1176.904461,6.505434783,0.122706056,0.104760718,0.096112173,0.087954053,0.223327053,0.176109436,0.116846568,0.092188673,0.00116962,294.9182743,292.1505365,-0.326760568,-0.729532427,-0.255776305,1.351425684,0.866135254,0.095980037,0.230783955,0.325099566,-0.233737275,5.118808171,-0.193251434,2154.803987,117.4148936,230.6979583,169.8034417,1,2386.260347,1176.962551,0
6.087503495,-75.33738954,-10.997583,11.257223,"  -9.143016",0,0.141661778,0.128508851,0.119188368,0.122333519,0.193141758,0.226180032,0.179404348,0.123478159,0.001308165,296.7462769,293.6035767,-0.229390159,-0.254309654,-0.584685802,0.620776057,1.20009613,-0.084813789,0.128040418,0.182229504,-0.319097042,4.589062214,-0.335157931,2158.414307,161.9225769,186.835083,180.2344208,1,2396.203369,1165.682007,0,0.13178963,0.115636454,0.109984757,0.107291274,0.230803402,0.207997647,0.147998024,0.109016904,0.001227053,295.7860818,292.8628737,-0.31626687,-0.472523446,-0.325449788,1.154365037,0.966901629,0.034168864,0.208410443,0.291840918,-0.202206697,4.205556088,-0.196742688,2157.065789,133.6388889,201.669107,177.6091238,1,2396.980944,1165.252755,7.043478261,0.122675837,0.104881501,0.096654728,0.0882109,0.228498408,0.177796079,0.117009613,0.092680434,0.00117298,294.9618848,292.1917903,-0.338069413,-0.730308239,-0.236590491,1.400375514,0.852252146,0.103300944,0.23887684,0.336503218,-0.213165569,4.916469916,-0.17461904,2155,119.819788,238.7022731,169.5379,1,2399.851686,1164.820116,0
6.08765242,-75.33740053,-11.453782,10.259549,"  -9.644338",0,0.14173007,0.128899336,0.121135198,0.122352302,0.206915781,0.220519051,0.171172455,0.123112239,0.00133876,296.8535767,293.7210999,-0.251584768,-0.302869856,-0.481655657,0.727778971,1.096819997,-0.03950778,0.150038481,0.213432938,-0.278146565,4.284925938,-0.285517186,2158.76416,147.1299591,195.2396698,180.2084198,1,2411.806152,1152.708008,0,0.132608555,0.116484206,0.111421776,0.108744217,0.2340247,0.210816964,0.150229239,0.110106806,0.001216452,295.8427933,292.8898716,-0.317432431,-0.463620917,-0.321333977,1.15871342,0.967985158,0.034285035,0.210334412,0.294955402,-0.195567354,4.151327008,-0.190800223,2157.078947,132.3378378,210.1650177,179.5385205,1,2415.291684,1150.081964,6.657681941,0.122753773,0.105024736,0.097018464,0.088441994,0.231431117,0.179129469,0.11761444,0.092977092,0.001175479,295.0093437,292.2353075,-0.344194409,-0.727398401,-0.228774728,1.428218781,0.847734476,0.105907162,0.243203264,0.342729807,-0.201792529,4.800552423,-0.164658989,2155.086379,121.5985915,246.536772,169.1763673,1,2417.251736,1150.183498,0
6.087801346,-75.33741151,-11.977151,9.252659," -10.208000",0,0.1426678,0.129970029,0.124241292,0.124845229,0.218610302,0.219253048,0.167100355,0.123881035,0.00135284,296.7056885,293.5516357,-0.266314,-0.322336435,-0.403823823,0.793715119,1.025273561,-0.008165267,0.164163917,0.232116163,-0.245894179,4.049889088,-0.249713629,2159.15625,132.5461273,205.145401,180.1794128,1,2427.436035,1139.829468,0,0.133557164,0.117961778,0.113575063,0.110783273,0.243355765,0.219092193,0.156354914,0.112456347,0.001231287,296.0013958,293.0401241,-0.330587263,-0.439836769,-0.311073921,1.222977339,0.972389213,0.033612441,0.221179367,0.310390877,-0.167473618,3.9001504,-0.164611292,2157.44,129.8309859,218.7485611,178.2313558,1,2428.186312,1139.874335,7.134408602,0.122651727,0.105033866,0.097443802,0.088501513,0.236602898,0.18044899,0.117579249,0.093684248,0.001181488,295.0060296,292.2315995,-0.353680617,-0.733408869,-0.210146977,1.47897583,0.83411475,0.113761267,0.251233681,0.354360666,-0.185171104,4.672732964,-0.1484562,2155.199336,123.4315789,255.5709832,168.812804,1,2430.499593,1138.531048,0
6.087950272,-75.33742128,-12.424318,10.10234," -10.691498",0,0.146537155,0.133860081,0.131194264,0.133454651,0.22339043,0.225288853,0.171641126,0.129492268,0.001343225,296.0830078,292.8479004,-0.256735325,-0.281440377,-0.38124311,0.722513735,1.014854431,-0.00577022,0.15652515,0.218565807,-0.241644502,3.969575644,-0.250224918,2159.946777,118.3532867,215.4773712,193.7218018,1,2443.105225,1126.909302,0,0.134507634,0.11916422,0.115107294,0.11210241,0.244474014,0.220466044,0.15846149,0.114210799,0.001231054,296.0356063,293.0612832,-0.327605988,-0.431996364,-0.313267339,1.203247707,0.972837779,0.033051809,0.220285962,0.309525333,-0.167780121,3.883961626,-0.164192634,2157.445946,127.6351351,229.3573433,180.983132,1,2444.996087,1125.678467,6.689373297,0.122715315,0.105144573,0.097840603,0.088717972,0.238854079,0.181337839,0.117819824,0.09461084,0.001186195,295.032793,292.250996,-0.357201947,-0.73095409,-0.204172377,1.494917232,0.830722999,0.115673778,0.25426448,0.358653515,-0.177844758,4.605405874,-0.142034833,2155.36,125.8815331,263.9471507,168.5666148,1,2445.160964,1124.988545,0
6.088099198,-75.33743227,-10.912716,9.484884," -10.912716",0,0.146429077,0.132305771,0.129415095,0.131684288,0.221969143,0.232513905,0.178342611,0.129548281,0.001338145,295.8575745,292.6078186,-0.26290682,-0.255361944,-0.40548864,0.729641616,1.049637675,-0.022799842,0.158519253,0.22045216,-0.235152796,3.912993193,-0.243247792,2160.397461,104.9634399,226.9545898,210.3417969,1,2458.757813,1114.230103,0.488888889,0.134688216,0.119997305,0.115837388,0.1128846,0.249319079,0.223820283,0.160105247,0.114346066,0.001247656,296.1066375,293.1360798,-0.335219124,-0.424216772,-0.303568336,1.24130922,0.971760408,0.034352942,0.226346507,0.318644264,-0.153425558,3.786738519,-0.151354122,2157.797297,124.6,241.8067299,179.4035006,1,2461.493883,1112.576257,6.848404255,0.123379482,0.105982716,0.099557952,0.090480658,0.24377223,0.186049319,0.120930629,0.09630749,0.001195293,295.0978569,292.2975067,-0.363958613,-0.707160727,-0.195084105,1.513205983,0.830793542,0.115018231,0.259088572,0.365122575,-0.161316088,4.440595194,-0.128362258,2155.5,127.2090592,273.0931711,168.2932026,1,2458.112629,1114.398537,0
6.088248124,-75.33744325,-11.236338,10.468327," -11.236338",0,0.143171594,0.126356855,0.12027622,0.121148959,0.217296973,0.237931654,0.184189528,0.124614857,0.001338765,295.9100952,292.6917725,-0.286328882,-0.256631613,-0.452104717,0.825498521,1.10194695,-0.046071224,0.171739936,0.240241557,-0.220835805,3.851336718,-0.224110991,2160.166504,92.67346191,238.6397247,213.4962921,1,2474.415771,1101.589478,0.543478261,0.134958193,0.120323952,0.116919982,0.113234366,0.255766225,0.226887172,0.161692935,0.115502041,0.001252426,296.1255837,293.1458964,-0.343862733,-0.426743447,-0.288944028,1.296135821,0.963692639,0.040194168,0.235571978,0.332008024,-0.13674108,3.660115366,-0.13274095,2157.986842,122.369863,251.2007242,180.1874814,1,2476.457801,1101.998125,6.401084011,0.123641162,0.106428804,0.100386217,0.091416872,0.248068502,0.188499682,0.122441779,0.097171137,0.001202289,295.1359584,292.3283542,-0.371104938,-0.701407719,-0.18654687,1.546489477,0.827220474,0.117582691,0.264085008,0.372163665,-0.146683324,4.29764122,-0.116344077,2155.548822,130.0278746,283.2545576,167.8635271,1,2473.342408,1100.11876,0
6.088397049,-75.33745302,-8.178913,9.959805," -11.476862",0,0.141733035,0.124714062,0.118619815,0.117686935,0.218305081,0.237552837,0.185396567,0.124000527,0.001338497,295.9585266,292.7659912,-0.293728113,-0.275242537,-0.459753364,0.873620033,1.101812363,-0.043375652,0.180102885,0.253595173,-0.215227783,3.831745625,-0.212880358,2159.808594,82.23704529,251.2270508,216.2994232,1,2490.121094,1089.02478,1.155555556,0.134394288,0.119515522,0.115999578,0.112245367,0.250659236,0.223939174,0.159274814,0.114689116,0.001263247,296.1488346,293.1660891,-0.337219179,-0.432884101,-0.296982775,1.261805807,0.968810219,0.037660245,0.230075051,0.323545271,-0.15117295,3.753538809,-0.144440925,2157.986486,119.5616438,262.0368092,180.1824139,1,2490.84994,1090.757033,6.104557641,0.124568356,0.107478187,0.101879976,0.093162438,0.25021317,0.191772684,0.125151588,0.098818689,0.001207884,295.2115479,292.3901216,-0.372100636,-0.678876745,-0.184780735,1.533829361,0.830091134,0.114845936,0.264452127,0.372425606,-0.140205042,4.218658667,-0.111699744,2155.719064,131.2395833,293.4456272,167.7145273,1,2488.485857,1086.787567,0
6.088545975,-75.337464,-8.540697,11.018151," -10.170601",0,0.140494004,0.124099262,0.119017072,0.115796492,0.222122818,0.234694079,0.18332997,0.124448314,0.001333136,296.0128479,292.8479004,-0.299179494,-0.306332082,-0.444630116,0.920937359,1.077918053,-0.028833527,0.189834639,0.269352794,-0.208068401,3.801939011,-0.198792607,2159.289063,73.71841431,263.9693604,219.4572754,1,2505.800537,1076.602173,1.277777778,0.133789014,0.1186886,0.115451319,0.110406273,0.252883105,0.221615328,0.156730832,0.112415626,0.001263088,296.0367134,293.0644894,-0.344172614,-0.459263353,-0.279651363,1.301110308,0.949381458,0.048661654,0.237488704,0.334281377,-0.142367695,3.697999567,-0.131307222,2158.297297,115.8405797,276.0917047,180.5684551,1,2508.125492,1076.646779,5.962566845,0.124906065,0.107918438,0.102836652,0.094024776,0.255347102,0.194669413,0.126836321,0.100023284,0.001215917,295.2646621,292.4274586,-0.381585227,-0.673792168,-0.173409186,1.578264369,0.8246683,0.118724416,0.271271733,0.382206599,-0.121748901,4.022147237,-0.095194408,2155.692308,132.9756098,303.1988604,167.366663,1,2500.854476,1074.540101,0
6.08869368,-75.33747499,-8.815649,10.523983," -10.427285",0,0.141276419,0.126609176,0.122711867,0.11932373,0.229442999,0.235024482,0.179900482,0.12373127,0.001291793,296.0614319,292.8354797,-0.299553096,-0.305013239,-0.397076637,0.90890342,1.04325211,-0.01442634,0.193877682,0.276516885,-0.194830522,3.719832659,-0.1861981,2158.441406,68.88167572,277.127655,226.7845001,1,2521.361572,1064.431519,1.358695652,0.133345204,0.118235978,0.114731881,0.109551522,0.249011275,0.219316827,0.154695697,0.112069656,0.001266718,296.0490517,293.0820194,-0.341651041,-0.463903293,-0.280883376,1.275082724,0.947614647,0.048250778,0.234238012,0.32952012,-0.149226266,3.727363095,-0.136483083,2158.4,114.2638889,286.4930764,179.3856719,1,2521.718008,1065.752315,6.051630435,0.125780689,0.108920185,0.104240318,0.095557531,0.25803931,0.197928741,0.129622176,0.101651729,0.001221922,295.3563386,292.4998381,-0.385209299,-0.658184173,-0.171829288,1.58431312,0.827395607,0.117294886,0.273188605,0.384881608,-0.111513262,3.888929309,-0.087041483,2155.692053,133.6267123,312.5637816,166.8826241,1,2515.194381,1062.227276,0
6.088842606,-75.33748476,-9.006773,11.716776," -10.600892",0,0.141973302,0.129466817,0.125908166,0.122619487,0.230804518,0.231649026,0.173466459,0.121856481,0.001277178,296.056488,292.7814331,-0.287182868,-0.308879822,-0.364264995,0.847550273,1.020055294,-0.004757343,0.188326493,0.270241946,-0.20422852,3.80177021,-0.196974784,2157.152344,65.82649231,290.7050171,240.9003754,1,2537.093506,1052.158081,1.420454545,0.132827624,0.117840708,0.114338397,0.109379446,0.247568739,0.219493246,0.154327874,0.111327679,0.001264921,296.0294243,293.0602905,-0.345519185,-0.461720884,-0.275626197,1.272459799,0.943294695,0.049038153,0.234326649,0.328491328,-0.145164965,3.679271519,-0.132705211,2158.388889,109.7794118,301.5245277,179.7700808,1,2538.844139,1052.125296,5.829787234,0.12653723,0.109930926,0.105566625,0.097077721,0.260985873,0.201398632,0.132830599,0.102888683,0.001231098,295.4526472,292.5785622,-0.390566502,-0.643492933,-0.171253121,1.598159959,0.829836686,0.116369756,0.275893295,0.388894612,-0.098805956,3.709383991,-0.077090721,2155.680135,135.9965278,321.9375004,166.7152174,1,2527.757641,1049.835875,0
6.088992752,-75.33748598,-9.246957,11.26677," -10.824936",0,0.137904167,0.130123869,0.117946714,0.117277279,0.181011587,0.18656531,0.13310428,0.116942927,0.001345374,296.6815186,293.6465149,-0.195389703,-0.423161536,-0.430094093,0.526196122,1.049893498,-0.012156692,0.115541026,0.168107882,-0.383756548,5.195306301,-0.384320587,2155.575439,68.25354767,305.1681519,247.2285614,1,2553.189209,1039.309814,1.677419355,0.132532809,0.117566416,0.113695352,0.109012565,0.24656594,0.219474468,0.153662439,0.111039929,0.00126977,296.0806263,293.1142238,-0.349499129,-0.459737456,-0.26987169,1.273318804,0.938989762,0.050295976,0.234967645,0.328871803,-0.141576746,3.653200165,-0.129383584,2158.276316,109.9295775,315.0747456,179.0998806,1,2555.269981,1038.417008,5.773224044,0.126921642,0.110389137,0.106195285,0.09775112,0.262276448,0.202744931,0.134218808,0.103404344,0.00129134,295.4903248,292.6067409,-0.392497413,-0.640288122,-0.170776399,1.606591277,0.830176354,0.116646368,0.277073865,0.390701239,-0.09419838,3.647550737,-0.073152415,2155.523179,136.7612457,332.391236,166.3164741,1,2542.005859,1035.482913,0
6.089141678,-75.33748476,-7.875765,10.876057," -11.001069",0,0.135094956,0.130461901,0.112504557,0.113641426,0.146759599,0.156084493,0.105908737,0.107893609,0.001390958,297.1161194,294.2442627,-0.132183284,-0.498904526,-0.478168398,0.304641336,1.073634982,-0.018801995,0.065415196,0.097642124,-0.507237554,6.151168823,-0.513121605,2153.940674,72.19637299,319.820282,247.0999146,1,2569.223145,1026.499023,1.833333333,0.132131866,0.117005662,0.11308721,0.107792768,0.244828363,0.217163387,0.151371033,0.110559933,0.001270012,296.0494656,293.0843811,-0.351708905,-0.474361419,-0.263542817,1.273994835,0.930107483,0.054762684,0.236011526,0.330690994,-0.140753463,3.632279482,-0.126366042,2157.84058,106.469697,327.3360767,178.0608956,1,2569.100498,1027.500654,5.91152815,0.127566061,0.111209481,0.107392346,0.09907379,0.264627582,0.205781283,0.136881317,0.104871312,0.001295102,295.557954,292.6535198,-0.395767379,-0.626120568,-0.169329003,1.611702861,0.832359047,0.115453638,0.278929507,0.393296471,-0.085358925,3.539240331,-0.065646985,2155.479592,138.6666667,341.9112944,166.0021914,1,2554.528353,1022.094983,0
